,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name
66,Algeria,DZA,17/02/2021,,,,3748.0,,,,85.0,Sputnik V,Ministry of Health
67,Algeria,DZA,18/02/2021,,,,3748.0,,,,85.0,Sputnik V,Ministry of Health
68,Algeria,DZA,19/02/2021,75000.0,,,3748.0,0.17,,,85.0,Sputnik V,Ministry of Health
69,Andorra,AND,25/01/2021,576.0,576.0,,,0.75,0.75,,,Pfizer/BioNTech,Government of Andorra
70,Andorra,AND,26/01/2021,,,,66.0,,,,854.0,Pfizer/BioNTech,Government of Andorra
71,Andorra,AND,27/01/2021,,,,66.0,,,,854.0,Pfizer/BioNTech,Government of Andorra
72,Andorra,AND,28/01/2021,,,,66.0,,,,854.0,Pfizer/BioNTech,Government of Andorra
73,Andorra,AND,29/01/2021,,,,66.0,,,,854.0,Pfizer/BioNTech,Government of Andorra
74,Andorra,AND,30/01/2021,,,,66.0,,,,854.0,Pfizer/BioNTech,Government of Andorra
75,Andorra,AND,31/01/2021,,,,66.0,,,,854.0,Pfizer/BioNTech,Government of Andorra
76,Andorra,AND,01/02/2021,1036.0,1036.0,,66.0,1.34,1.34,,854.0,Pfizer/BioNTech,Government of Andorra
77,Andorra,AND,02/02/2021,,,,60.0,,,,777.0,Pfizer/BioNTech,Government of Andorra
78,Andorra,AND,03/02/2021,,,,55.0,,,,712.0,Pfizer/BioNTech,Government of Andorra
79,Andorra,AND,04/02/2021,,,,50.0,,,,647.0,Pfizer/BioNTech,Government of Andorra
80,Andorra,AND,05/02/2021,,,,44.0,,,,569.0,Pfizer/BioNTech,Government of Andorra
81,Andorra,AND,06/02/2021,,,,39.0,,,,505.0,Pfizer/BioNTech,Government of Andorra
82,Andorra,AND,07/02/2021,,,,34.0,,,,440.0,Pfizer/BioNTech,Government of Andorra
83,Andorra,AND,08/02/2021,,,,28.0,,,,362.0,Pfizer/BioNTech,Government of Andorra
84,Andorra,AND,09/02/2021,,,,28.0,,,,362.0,Pfizer/BioNTech,Government of Andorra
85,Andorra,AND,10/02/2021,1291.0,1291.0,,28.0,1.67,1.67,,362.0,Pfizer/BioNTech,Government of Andorra
86,Andorra,AND,11/02/2021,,,,48.0,,,,621.0,Pfizer/BioNTech,Government of Andorra
87,Andorra,AND,12/02/2021,1622.0,1622.0,,68.0,2.1,2.1,,880.0,Pfizer/BioNTech,Government of Andorra
88,Andorra,AND,13/02/2021,,,,74.0,,,,958.0,Pfizer/BioNTech,Government of Andorra
89,Andorra,AND,14/02/2021,,,,81.0,,,,1048.0,Pfizer/BioNTech,Government of Andorra
90,Andorra,AND,15/02/2021,,,,87.0,,,,1126.0,Pfizer/BioNTech,Government of Andorra
91,Andorra,AND,16/02/2021,,,,94.0,,,,1217.0,Pfizer/BioNTech,Government of Andorra
92,Andorra,AND,17/02/2021,,,,100.0,,,,1294.0,Pfizer/BioNTech,Government of Andorra
93,Andorra,AND,18/02/2021,,,,87.0,,,,1126.0,Pfizer/BioNTech,Government of Andorra
94,Andorra,AND,19/02/2021,2141.0,2141.0,,74.0,2.77,2.77,,958.0,Pfizer/BioNTech,Government of Andorra
95,Andorra,AND,20/02/2021,,,,71.0,,,,919.0,Pfizer/BioNTech,Government of Andorra
96,Andorra,AND,21/02/2021,,,,67.0,,,,867.0,Pfizer/BioNTech,Government of Andorra
97,Andorra,AND,22/02/2021,,,,64.0,,,,828.0,Pfizer/BioNTech,Government of Andorra
98,Andorra,AND,23/02/2021,,,,60.0,,,,777.0,Pfizer/BioNTech,Government of Andorra
99,Andorra,AND,24/02/2021,2390.0,2390.0,,57.0,3.09,3.09,,738.0,Pfizer/BioNTech,Government of Andorra
100,Anguilla,AIA,04/02/2021,0.0,0.0,,,0.0,0.0,,,Oxford/AstraZeneca,Ministry of Health
101,Anguilla,AIA,05/02/2021,,,,149.0,,,,9932.0,Oxford/AstraZeneca,Ministry of Health
102,Anguilla,AIA,06/02/2021,,,,149.0,,,,9932.0,Oxford/AstraZeneca,Ministry of Health
103,Anguilla,AIA,07/02/2021,,,,149.0,,,,9932.0,Oxford/AstraZeneca,Ministry of Health
104,Anguilla,AIA,08/02/2021,,,,149.0,,,,9932.0,Oxford/AstraZeneca,Ministry of Health
105,Anguilla,AIA,09/02/2021,,,,149.0,,,,9932.0,Oxford/AstraZeneca,Ministry of Health
106,Anguilla,AIA,10/02/2021,,,,149.0,,,,9932.0,Oxford/AstraZeneca,Ministry of Health
107,Anguilla,AIA,11/02/2021,,,,149.0,,,,9932.0,Oxford/AstraZeneca,Ministry of Health
108,Anguilla,AIA,12/02/2021,,,,149.0,,,,9932.0,Oxford/AstraZeneca,Ministry of Health
109,Anguilla,AIA,13/02/2021,1341.0,1341.0,,149.0,8.94,8.94,,9932.0,Oxford/AstraZeneca,Ministry of Health
110,Anguilla,AIA,14/02/2021,2762.0,2762.0,,331.0,18.41,18.41,,22064.0,Oxford/AstraZeneca,Ministry of Health
111,Argentina,ARG,29/12/2020,700.0,,,,0.0,,,,Sputnik V,Ministry of Health
112,Argentina,ARG,30/12/2020,,,,15656.0,,,,346.0,Sputnik V,Ministry of Health
113,Argentina,ARG,31/12/2020,32013.0,,,15656.0,0.07,,,346.0,Sputnik V,Ministry of Health
114,Argentina,ARG,01/01/2021,,,,11070.0,,,,245.0,Sputnik V,Ministry of Health
115,Argentina,ARG,02/01/2021,,,,8776.0,,,,194.0,Sputnik V,Ministry of Health
116,Argentina,ARG,03/01/2021,,,,7400.0,,,,164.0,Sputnik V,Ministry of Health
117,Argentina,ARG,04/01/2021,39599.0,,,6483.0,0.09,,,143.0,Sputnik V,Ministry of Health
118,Argentina,ARG,05/01/2021,,,,7984.0,,,,177.0,Sputnik V,Ministry of Health
119,Argentina,ARG,06/01/2021,,,,8173.0,,,,181.0,Sputnik V,Ministry of Health
120,Argentina,ARG,07/01/2021,,,,8363.0,,,,185.0,Sputnik V,Ministry of Health
121,Argentina,ARG,08/01/2021,107542.0,,,10519.0,0.24,,,233.0,Sputnik V,Ministry of Health
122,Argentina,ARG,09/01/2021,,,,11942.0,,,,264.0,Sputnik V,Ministry of Health
123,Argentina,ARG,10/01/2021,,,,13365.0,,,,296.0,Sputnik V,Ministry of Health
124,Argentina,ARG,11/01/2021,,,,14788.0,,,,327.0,Sputnik V,Ministry of Health
125,Argentina,ARG,12/01/2021,,,,14056.0,,,,311.0,Sputnik V,Ministry of Health
126,Argentina,ARG,13/01/2021,166833.0,,,13323.0,0.37,,,295.0,Sputnik V,Ministry of Health
127,Argentina,ARG,14/01/2021,,,,13320.0,,,,295.0,Sputnik V,Ministry of Health
128,Argentina,ARG,15/01/2021,200759.0,,,13317.0,0.44,,,295.0,Sputnik V,Ministry of Health
129,Argentina,ARG,16/01/2021,,,,12971.0,,,,287.0,Sputnik V,Ministry of Health
130,Argentina,ARG,17/01/2021,,,,12624.0,,,,279.0,Sputnik V,Ministry of Health
131,Argentina,ARG,18/01/2021,,,,12278.0,,,,272.0,Sputnik V,Ministry of Health
132,Argentina,ARG,19/01/2021,,,,11932.0,,,,264.0,Sputnik V,Ministry of Health
133,Argentina,ARG,20/01/2021,247933.0,243539.0,4394.0,11586.0,0.55,0.54,0.01,256.0,Sputnik V,Ministry of Health
134,Argentina,ARG,21/01/2021,265724.0,249372.0,16352.0,11704.0,0.59,0.55,0.04,259.0,Sputnik V,Ministry of Health
135,Argentina,ARG,22/01/2021,279602.0,254456.0,25146.0,11263.0,0.62,0.56,0.06,249.0,Sputnik V,Ministry of Health
136,Argentina,ARG,23/01/2021,288064.0,258876.0,29188.0,11124.0,0.64,0.57,0.06,246.0,Sputnik V,Ministry of Health
137,Argentina,ARG,24/01/2021,292023.0,260036.0,31987.0,10342.0,0.65,0.58,0.07,229.0,Sputnik V,Ministry of Health
138,Argentina,ARG,25/01/2021,292386.0,260122.0,32264.0,9046.0,0.65,0.58,0.07,200.0,Sputnik V,Ministry of Health
139,Argentina,ARG,26/01/2021,305880.0,266969.0,38911.0,9626.0,0.68,0.59,0.09,213.0,Sputnik V,Ministry of Health
140,Argentina,ARG,27/01/2021,318033.0,272323.0,45710.0,10014.0,0.7,0.6,0.1,222.0,Sputnik V,Ministry of Health
141,Argentina,ARG,28/01/2021,327999.0,276548.0,51451.0,8896.0,0.73,0.61,0.11,197.0,Sputnik V,Ministry of Health
142,Argentina,ARG,29/01/2021,344034.0,278451.0,65583.0,9205.0,0.76,0.62,0.15,204.0,Sputnik V,Ministry of Health
143,Argentina,ARG,30/01/2021,366384.0,281023.0,85361.0,11189.0,0.81,0.62,0.19,248.0,Sputnik V,Ministry of Health
144,Argentina,ARG,31/01/2021,,,,11299.0,,,,250.0,Sputnik V,Ministry of Health
145,Argentina,ARG,01/02/2021,375851.0,281577.0,94274.0,11924.0,0.83,0.62,0.21,264.0,Sputnik V,Ministry of Health
146,Argentina,ARG,02/02/2021,,,,11475.0,,,,254.0,Sputnik V,Ministry of Health
147,Argentina,ARG,03/02/2021,396562.0,284196.0,112366.0,11218.0,0.88,0.63,0.25,248.0,Sputnik V,Ministry of Health
148,Argentina,ARG,04/02/2021,444018.0,297717.0,146301.0,16574.0,0.98,0.66,0.32,367.0,Sputnik V,Ministry of Health
149,Argentina,ARG,05/02/2021,,,,16238.0,,,,359.0,Sputnik V,Ministry of Health
150,Argentina,ARG,06/02/2021,471383.0,307501.0,163882.0,15000.0,1.04,0.68,0.36,332.0,Sputnik V,Ministry of Health
151,Argentina,ARG,07/02/2021,501152.0,319316.0,181836.0,18576.0,1.11,0.71,0.4,411.0,Sputnik V,Ministry of Health
152,Argentina,ARG,08/02/2021,511582.0,322318.0,189264.0,19390.0,1.13,0.71,0.42,429.0,Sputnik V,Ministry of Health
153,Argentina,ARG,09/02/2021,513178.0,322975.0,190203.0,18139.0,1.14,0.71,0.42,401.0,Sputnik V,Ministry of Health
154,Argentina,ARG,10/02/2021,535303.0,337772.0,197531.0,19820.0,1.18,0.75,0.44,439.0,Sputnik V,Ministry of Health
155,Argentina,ARG,11/02/2021,572928.0,362649.0,210279.0,18416.0,1.27,0.8,0.47,407.0,Sputnik V,Ministry of Health
156,Argentina,ARG,12/02/2021,591632.0,368023.0,223609.0,19133.0,1.31,0.81,0.49,423.0,Sputnik V,Ministry of Health
157,Argentina,ARG,13/02/2021,606245.0,371629.0,234616.0,19266.0,1.34,0.82,0.52,426.0,Sputnik V,Ministry of Health
158,Argentina,ARG,14/02/2021,609605.0,372122.0,237483.0,15493.0,1.35,0.82,0.53,343.0,Sputnik V,Ministry of Health
159,Argentina,ARG,15/02/2021,609791.0,372181.0,237610.0,14030.0,1.35,0.82,0.53,310.0,Sputnik V,Ministry of Health
160,Argentina,ARG,16/02/2021,611169.0,373253.0,237916.0,13999.0,1.35,0.83,0.53,310.0,Sputnik V,Ministry of Health
161,Argentina,ARG,17/02/2021,612322.0,374002.0,238320.0,11003.0,1.35,0.83,0.53,243.0,Sputnik V,Ministry of Health
162,Argentina,ARG,18/02/2021,635583.0,392399.0,243184.0,8951.0,1.41,0.87,0.54,198.0,Sputnik V,Ministry of Health
163,Argentina,ARG,19/02/2021,668654.0,414958.0,253696.0,11003.0,1.48,0.92,0.56,243.0,Sputnik V,Ministry of Health
164,Argentina,ARG,20/02/2021,707148.0,445614.0,261534.0,14415.0,1.56,0.99,0.58,319.0,Sputnik V,Ministry of Health
165,Argentina,ARG,21/02/2021,720267.0,456929.0,263338.0,15809.0,1.59,1.01,0.58,350.0,Sputnik V,Ministry of Health
166,Argentina,ARG,22/02/2021,722234.0,458822.0,263412.0,16063.0,1.6,1.02,0.58,355.0,Sputnik V,Ministry of Health
167,Argentina,ARG,23/02/2021,746615.0,481689.0,264926.0,19349.0,1.65,1.07,0.59,428.0,Sputnik V,Ministry of Health
168,Argentina,ARG,24/02/2021,780455.0,513394.0,267061.0,24019.0,1.73,1.14,0.59,531.0,Sputnik V,Ministry of Health
169,Argentina,ARG,25/02/2021,829832.0,558831.0,271001.0,27750.0,1.84,1.24,0.6,614.0,Sputnik V,Ministry of Health
170,Argentina,ARG,26/02/2021,903915.0,620635.0,283280.0,33609.0,2.0,1.37,0.63,744.0,Sputnik V,Ministry of Health
171,Argentina,ARG,27/02/2021,984895.0,694470.0,290425.0,39678.0,2.18,1.54,0.64,878.0,Sputnik V,Ministry of Health
172,Argentina,ARG,28/02/2021,1025003.0,731571.0,293432.0,43534.0,2.27,1.62,0.65,963.0,Sputnik V,Ministry of Health
173,Australia,AUS,15/02/2021,0.0,0.0,,,0.0,0.0,,,Pfizer/BioNTech,Government of Australia via covidlive.com.au
174,Australia,AUS,16/02/2021,0.0,0.0,,,0.0,0.0,,,Pfizer/BioNTech,Government of Australia via covidlive.com.au
175,Australia,AUS,17/02/2021,0.0,0.0,,,0.0,0.0,,,Pfizer/BioNTech,Government of Australia via covidlive.com.au
176,Australia,AUS,18/02/2021,0.0,0.0,,,0.0,0.0,,,Pfizer/BioNTech,Government of Australia via covidlive.com.au
177,Australia,AUS,19/02/2021,0.0,0.0,,,0.0,0.0,,,Pfizer/BioNTech,Government of Australia via covidlive.com.au
178,Australia,AUS,20/02/2021,0.0,0.0,,,0.0,0.0,,,Pfizer/BioNTech,Government of Australia via covidlive.com.au
179,Australia,AUS,21/02/2021,0.0,0.0,,,0.0,0.0,,,Pfizer/BioNTech,Government of Australia via covidlive.com.au
180,Australia,AUS,22/02/2021,20.0,20.0,,3.0,0.0,0.0,,0.0,Pfizer/BioNTech,Government of Australia via covidlive.com.au
181,Australia,AUS,23/02/2021,2879.0,2879.0,,411.0,0.01,0.01,,16.0,Pfizer/BioNTech,Government of Australia via covidlive.com.au
182,Australia,AUS,24/02/2021,6908.0,6908.0,,987.0,0.03,0.03,,39.0,Pfizer/BioNTech,Government of Australia via covidlive.com.au
183,Australia,AUS,25/02/2021,17500.0,17500.0,,2500.0,0.07,0.07,,98.0,Pfizer/BioNTech,Government of Australia via covidlive.com.au
184,Australia,AUS,26/02/2021,25000.0,25000.0,,3571.0,0.1,0.1,,140.0,Pfizer/BioNTech,Government of Australia via covidlive.com.au
185,Australia,AUS,27/02/2021,30000.0,30000.0,,4286.0,0.12,0.12,,168.0,Pfizer/BioNTech,Government of Australia via covidlive.com.au
186,Australia,AUS,28/02/2021,31894.0,31894.0,,4556.0,0.13,0.13,,179.0,Pfizer/BioNTech,Government of Australia via covidlive.com.au
187,Austria,AUT,10/01/2021,,6784.0,,,,0.08,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
188,Austria,AUT,11/01/2021,,11559.0,,,,0.13,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
189,Austria,AUT,12/01/2021,,13172.0,,,,0.15,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
190,Austria,AUT,13/01/2021,21259.0,20064.0,,,0.24,0.22,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
191,Austria,AUT,14/01/2021,47087.0,29359.0,,6457.0,0.52,0.33,,717.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
192,Austria,AUT,15/01/2021,67473.0,39751.0,,9243.0,0.75,0.44,,1026.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
193,Austria,AUT,16/01/2021,76066.0,50402.0,,9134.0,0.84,0.56,,1014.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
194,Austria,AUT,17/01/2021,82005.0,55450.0,,8678.0,0.91,0.62,,964.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
195,Austria,AUT,18/01/2021,88973.0,60708.0,304.0,9673.0,0.99,0.67,0.0,1074.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
196,Austria,AUT,19/01/2021,97389.0,70474.0,1034.0,10876.0,1.08,0.78,0.01,1208.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
197,Austria,AUT,20/01/2021,127354.0,86888.0,2007.0,15156.0,1.41,0.96,0.02,1683.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
198,Austria,AUT,21/01/2021,152843.0,105038.0,3214.0,15108.0,1.7,1.17,0.04,1677.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
199,Austria,AUT,22/01/2021,163692.0,121216.0,3540.0,13746.0,1.82,1.35,0.04,1526.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
200,Austria,AUT,23/01/2021,168700.0,132105.0,4243.0,13233.0,1.87,1.47,0.05,1469.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
201,Austria,AUT,24/01/2021,171416.0,135249.0,4289.0,12773.0,1.9,1.5,0.05,1418.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
202,Austria,AUT,25/01/2021,177179.0,137044.0,4306.0,12601.0,1.97,1.52,0.05,1399.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
203,Austria,AUT,26/01/2021,187606.0,146587.0,4346.0,12888.0,2.08,1.63,0.05,1431.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
204,Austria,AUT,27/01/2021,191749.0,153859.0,5126.0,9199.0,2.13,1.71,0.06,1021.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
205,Austria,AUT,28/01/2021,198091.0,163806.0,5633.0,6464.0,2.2,1.82,0.06,718.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
206,Austria,AUT,29/01/2021,208878.0,174262.0,7157.0,6455.0,2.32,1.93,0.08,717.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
207,Austria,AUT,30/01/2021,220647.0,183628.0,13551.0,7421.0,2.45,2.04,0.15,824.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
208,Austria,AUT,31/01/2021,224792.0,185291.0,15207.0,7625.0,2.5,2.06,0.17,847.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
209,Austria,AUT,01/02/2021,227802.0,186479.0,15866.0,7232.0,2.53,2.07,0.18,803.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
210,Austria,AUT,02/02/2021,241258.0,189926.0,19062.0,7665.0,2.68,2.11,0.21,851.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
211,Austria,AUT,03/02/2021,252707.0,194287.0,28233.0,8708.0,2.81,2.16,0.31,967.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
212,Austria,AUT,04/02/2021,262079.0,198912.0,39329.0,9141.0,2.91,2.21,0.44,1015.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
213,Austria,AUT,05/02/2021,277431.0,202160.0,50669.0,9793.0,3.08,2.24,0.56,1087.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
214,Austria,AUT,06/02/2021,284578.0,208144.0,62123.0,9133.0,3.16,2.31,0.69,1014.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
215,Austria,AUT,07/02/2021,289954.0,210239.0,66621.0,9309.0,3.22,2.33,0.74,1034.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
216,Austria,AUT,08/02/2021,298195.0,212062.0,71135.0,10056.0,3.31,2.35,0.79,1117.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
217,Austria,AUT,09/02/2021,311221.0,215592.0,78852.0,9995.0,3.46,2.39,0.88,1110.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
218,Austria,AUT,10/02/2021,329881.0,219286.0,90983.0,11025.0,3.66,2.43,1.01,1224.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
219,Austria,AUT,11/02/2021,343069.0,224467.0,106450.0,11570.0,3.81,2.49,1.18,1285.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
220,Austria,AUT,12/02/2021,365414.0,229317.0,122349.0,12569.0,4.06,2.55,1.36,1396.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
